group,subgroup,shap value,cluster,type
Mean Min Temp,class 0,0.47248725700000005,non,dengue
Houses without toilet,class 1,0.48374328899999997,all,dengue
Houses with floor of dirt,class 1,0.606685997,all,dengue
Houses without electricity,class 1,0.40225608700000004,all,dengue
Altitude,class 1,0.065512177,non,zika
Altitude,class 1,0.023813193,non,dengue
Houses without toilet,class 1,1.1873515609999998,non,zika
Mean Min Temp,class 0,0.03793849,non,chkk
Mean Min Temp,class 1,0.364146394,all,dengue
Mean Min Temp,class 0,0.21352122,all,zika
Population without health services,class 0,0.43656396299999994,non,zika
Mean Temp,class 0,0.001,non,chkk
Houses without toilet,class 1,0.391960851,all,zika
Mean Temp,class 1,0.759310513,non,dengue
Max mm/day,class 0,0.261014612,all,dengue
Mean Min Temp,class 0,0.36806124700000004,all,dengue
Houses with floor of dirt,class 0,0.525615254,non,chkk
Min mm/day,class 0,0.076518089,all,chkk
Mean Min Temp,class 0,0.5107412020000001,all,chkk
Mean Temp,class 0,0.308972084,all,zika
Houses without toilet,class 0,0.45782341200000004,all,dengue
Mean Max Temp,class 1,0.461013887,all,dengue
Min mm/day,class 1,0.016386664,all,zika
Mean Temp,class 0,0.10926176900000001,all,chkk
Houses without toilet,class 1,0.2033428,all,chkk
Altitude,class 0,0.09043519400000001,all,chkk
Mean Temp,class 1,0.09207973,all,dengue
Altitude,class 1,0.001,non,chkk
Mean Max Temp,class 1,0.46,all,dengue
Population without health services,class 1,1.1694191440000001,all,chkk
Houses with floor of dirt,class 1,0.56027586,non,chkk
Houses with floor of dirt,class 1,0.225351957,non,dengue
Houses without water pipelines,class 1,0.557128681,all,zika
Mean Min Temp,class 1,0.017202064,non,chkk
Mean Temp,class 1,0.179094521,all,chkk
Houses without water pipelines,class 0,0.396472878,non,zika
Altitude,class 1,0.089053819,all,chkk
Houses with floor of dirt,class 0,0.18827619899999998,all,zika
Max mm/day,class 0,0.7138846670000001,non,zika
Mean Temp,class 1,0.158818732,all,chkk
Max mm/day,class 0,0.40001477,non,dengue
Illiteracy,class 1,0.7457126829999999,non,zika
Houses without electricity,class 0,0.037180573,non,chkk
Mean Min Temp,class 1,0.489317795,non,dengue
Max mm/day,class 1,0.18194745,all,zika
Houses without electricity,class 1,0.076837818,all,zika
Max mm/day,class 0,0.094214039,non,chkk
Houses without toilet,class 1,0.234323053,all,chkk
Houses without water pipelines,class 0,0.288177254,non,dengue
Houses without toilet,class 1,0.234037981,all,chkk
Illiteracy,class 1,0.8251640920000001,all,zika
Houses with floor of dirt,class 0,0.501014991,non,chkk
Mean Max Temp,class 1,0.674969351,all,chkk
Population without health services,class 0,1.1792576890000002,all,chkk
Illiteracy,class 1,0.8694663220000001,all,chkk
Altitude,class 1,0.001,non,zika
Min mm/day,class 1,0.001,non,dengue
Houses without toilet,class 1,0.38944061799999996,all,zika
Mean Min Temp,class 1,0.055197299000000005,non,chkk
Mean Min Temp,class 1,0.043900842999999995,non,chkk
Mean Min Temp,class 1,0.4426843,all,chkk
Mean Temp,class 0,0.126249959,all,chkk
Houses without electricity,class 1,0.42617034200000004,all,chkk
Population without health services,class 1,0.318151523,all,dengue
Houses without electricity,class 1,0.409105692,all,dengue
Houses without toilet,class 1,1.2195242720000001,non,zika
Mean Min Temp,class 1,0.329805399,all,dengue
Mean Max Temp,class 1,0.466070899,all,dengue
Houses without electricity,class 0,0.42,all,dengue
Mean mm/day,class 1,0.383153553,all,zika
Houses without water pipelines,class 1,0.159749194,non,chkk
Mean Min Temp,class 1,0.35332704299999995,all,dengue
Mean mm/day,class 1,0.417703705,non,dengue
Mean Max Temp,class 1,0.662709827,all,chkk
Houses without electricity,class 0,0.107755246,all,zika
Mean Min Temp,class 1,0.019253374,non,zika
Houses without toilet,class 0,0.454585264,non,dengue
Illiteracy,class 0,0.7173895140000001,all,dengue
Houses without sewage,class 0,0.0055658290000000004,non,zika
Altitude,class 1,0.016531888999999998,all,zika
Mean Max Temp,class 0,0.607967704,all,chkk
Min mm/day,class 0,0.027601202999999998,non,dengue
Mean mm/day,class 1,0.412694075,non,chkk
Mean mm/day,class 1,0.231087326,all,chkk
Mean Max Temp,class 1,0.13201405800000002,non,zika
Houses without water pipelines,class 0,0.140742766,non,chkk
Altitude,class 0,0.03219025,non,zika
Max mm/day,class 0,0.374938308,non,dengue
Houses without electricity,class 0,0.558994835,non,zika
Min mm/day,class 0,0.016485242,all,chkk
Houses without water pipelines,class 0,0.368708414,all,dengue
Houses without electricity,class 1,0.052996512,all,zika
Min mm/day,class 1,0.053322829,all,chkk
Min mm/day,class 0,0.00603981,non,zika
Mean Min Temp,class 0,0.37,all,dengue
Population without health services,class 1,0.36,non,chkk
Mean Temp,class 0,0.130770802,all,dengue
Houses without toilet,class 0,1.165456772,non,zika
Altitude,class 0,0.001,non,dengue
Min mm/day,class 0,0.021038899,all,zika
Mean mm/day,class 1,0.372272029,non,dengue
Houses without water pipelines,class 1,0.560592885,all,zika
Houses with floor of dirt,class 1,0.503190579,non,chkk
Max mm/day,class 0,0.224470146,all,zika
Mean Temp,class 1,0.001,non,zika
Mean Temp,class 0,0.035413873,non,chkk
Houses without sewage,class 0,0.492958919,non,dengue
Max mm/day,class 0,0.234863063,all,zika
Houses with floor of dirt,class 0,0.254024517,non,zika
Mean Temp,class 0,0.084184879,non,zika
Mean Min Temp,class 1,0.476381163,all,chkk
Max mm/day,class 1,0.39802428,non,dengue
Altitude,class 0,0.039647622,non,zika
Houses with floor of dirt,class 1,0.57266761,non,chkk
Min mm/day,class 1,0.056782204,non,dengue
Houses without sewage,class 0,0.304513194,all,zika
Min mm/day,class 0,0.015031063999999998,non,dengue
Houses with floor of dirt,class 0,0.497481099,all,chkk
Illiteracy,class 1,0.672902288,all,dengue
Max mm/day,class 1,0.006214231999999999,non,chkk
Mean Max Temp,class 1,0.28876312600000004,non,dengue
Min mm/day,class 0,0.007011361,all,dengue
Mean Temp,class 0,0.126803135,all,dengue
Population without health services,class 1,0.36345697299999996,non,chkk
Illiteracy,class 0,0.468301019,non,dengue
Houses without toilet,class 0,0.469821936,all,dengue
Houses without toilet,class 1,0.836935753,non,chkk
Mean Max Temp,class 1,0.902633349,non,chkk
Houses without water pipelines,class 0,0.354966375,all,chkk
Houses without sewage,class 1,0.460631361,non,dengue
Houses without toilet,class 1,0.2094277,all,chkk
Mean mm/day,class 1,0.36,all,zika
Population without health services,class 0,0.374988725,all,dengue
Houses with floor of dirt,class 1,0.5132597289999999,all,chkk
Mean mm/day,class 0,0.425963685,non,zika
Altitude,class 1,0.008606728000000001,all,zika
Houses without sewage,class 1,0.192621884,non,chkk
Mean Max Temp,class 0,0.210485838,non,zika
Houses without sewage,class 1,0.41984094200000005,all,chkk
Max mm/day,class 0,0.20499491,all,zika
Mean mm/day,class 1,0.396139726,non,dengue
Mean Temp,class 1,0.192118063,all,dengue
Houses without water pipelines,class 0,0.368232237,all,dengue
Houses without toilet,class 1,0.420188501,non,dengue
Houses without water pipelines,class 1,0.33058212600000003,non,dengue
Population without health services,class 1,0.331232475,non,chkk
Houses without toilet,class 1,1.18955227,non,zika
Houses without electricity,class 0,0.06199603099999999,all,zika
Max mm/day,class 0,0.2504159,all,dengue
Houses without electricity,class 0,0.595671086,all,chkk
Mean Min Temp,class 1,0.5060116929999999,non,dengue
Houses without sewage,class 1,0.001,non,zika
Mean mm/day,class 1,0.25856260600000003,all,dengue
Mean Max Temp,class 0,0.617293203,all,chkk
Mean Max Temp,class 0,0.214113848,non,zika
Mean Temp,class 1,0.252884478,all,zika
Houses without toilet,class 1,0.41007457799999997,non,dengue
Houses without water pipelines,class 1,0.325127681,non,dengue
Altitude,class 1,0.008127752,all,dengue
Altitude,class 0,0.001,all,zika
Min mm/day,class 1,0.007961491999999999,all,dengue
Houses without water pipelines,class 1,0.369073398,all,dengue
Houses with floor of dirt,class 0,0.6276421289999999,all,dengue
Mean Max Temp,class 1,0.444417619,all,dengue
Mean Temp,class 0,0.11886714400000001,all,dengue
Population without health services,class 0,0.8187898929999999,all,zika
Mean Temp,class 1,0.13102577099999999,all,chkk
Max mm/day,class 0,0.291430784,all,dengue
Houses with floor of dirt,class 0,0.23324013899999999,non,dengue
Houses without toilet,class 0,0.42634757799999995,all,zika
Houses without electricity,class 1,0.578291894,non,zika
Houses without toilet,class 1,1.20044726,non,zika
Altitude,class 1,0.029929828,non,dengue
Houses without water pipelines,class 0,0.296935715,all,chkk
Houses without water pipelines,class 0,0.40236585,non,zika
Houses without electricity,class 0,0.00449695,non,chkk
Mean Temp,class 0,0.079643628,non,chkk
Altitude,class 0,0.021593132,non,zika
Houses without sewage,class 0,0.506544702,all,dengue
Min mm/day,class 0,0.02,all,zika
Min mm/day,class 0,0.007785333,non,dengue
Houses without toilet,class 0,0.45682514399999996,non,dengue
Houses without water pipelines,class 1,0.409984105,all,dengue
Population without health services,class 0,0.39839458299999997,non,zika
Houses without water pipelines,class 1,0.14263019,non,chkk
Altitude,class 0,0.026394139,non,chkk
Population without health services,class 1,0.505885908,non,zika
Population without health services,class 0,0.773050137,non,dengue
Min mm/day,class 0,0.001,non,dengue
Mean Min Temp,class 0,0.293909679,all,zika
Mean Min Temp,class 0,0.48995478,non,dengue
Houses without sewage,class 0,0.036346892,non,zika
Altitude,class 0,0.001,non,zika
Min mm/day,class 1,0.024536811000000002,all,dengue
Altitude,class 1,0.005990941999999999,non,dengue
Houses without toilet,class 0,0.453195666,non,dengue
Houses without toilet,class 0,1.119075986,non,zika
Population without health services,class 1,0.369305428,non,chkk
Max mm/day,class 1,0.31357636,all,dengue
Mean Min Temp,class 0,0.489717723,non,dengue
Houses with floor of dirt,class 1,0.593482292,all,dengue
Min mm/day,class 0,0.010812171,non,dengue
Mean mm/day,class 1,0.348352084,all,zika
Max mm/day,class 1,0.82683385,non,zika
Population without health services,class 0,1.219006975,all,chkk
Max mm/day,class 0,0.29604603399999996,all,chkk
Altitude,class 1,0.001,all,dengue
Mean Max Temp,class 1,0.902729418,non,chkk
Houses without toilet,class 0,0.802235913,non,chkk
Altitude,class 1,0.031475445,all,dengue
Mean Min Temp,class 1,0.37823568399999996,all,dengue
Population without health services,class 0,0.859466662,all,zika
Mean Max Temp,class 0,0.18556776100000003,non,zika
Mean Max Temp,class 1,0.931211305,non,chkk
Mean mm/day,class 0,0.29228623600000003,all,zika
Houses without toilet,class 0,0.376962784,all,chkk
Mean Temp,class 1,0.73510509,non,dengue
Population without health services,class 1,1.155312618,all,chkk
Altitude,class 0,0.001,non,zika
Min mm/day,class 1,0.013379391000000001,non,chkk
Altitude,class 1,0.047653262,non,chkk
Houses without water pipelines,class 1,0.314130862,non,dengue
Houses without toilet,class 0,0.826906045,non,chkk
Min mm/day,class 1,0.014318206000000002,all,dengue
Houses with floor of dirt,class 0,0.502143028,all,chkk
Max mm/day,class 1,0.176151205,all,zika
Mean Max Temp,class 1,0.230936798,non,zika
Min mm/day,class 1,0.018979496000000002,non,chkk
Illiteracy,class 1,0.737997927,all,dengue
Mean Min Temp,class 1,0.5471668279999999,non,dengue
Mean Max Temp,class 1,0.308878096,non,dengue
Population without health services,class 0,0.40271605,non,chkk
Houses without toilet,class 0,0.426779665,all,zika
Mean Temp,class 0,0.310234388,all,zika
Houses with floor of dirt,class 1,0.23655320300000002,non,dengue
Mean Min Temp,class 0,0.492453359,non,dengue
Mean Max Temp,class 1,0.931912875,non,chkk
Mean Max Temp,class 1,0.199422094,non,zika
Houses without toilet,class 1,0.453310349,non,dengue
Mean Temp,class 1,0.0036439529999999997,non,zika
Houses with floor of dirt,class 0,0.6224356639999999,all,dengue
Min mm/day,class 1,0.042953251,non,dengue
Houses without sewage,class 1,0.214531702,non,chkk
Houses without sewage,class 0,0.47169484100000003,non,dengue
Houses without water pipelines,class 0,0.322363843,all,chkk
Houses without toilet,class 1,0.47019951,all,dengue
Mean mm/day,class 0,0.37,non,chkk
Mean Temp,class 1,0.18383605600000003,all,chkk
Houses with floor of dirt,class 0,0.19097773899999998,non,dengue
Houses without water pipelines,class 0,0.325507073,all,chkk
Population without health services,class 0,0.713942799,non,dengue
Mean Max Temp,class 0,0.219489987,non,zika
Mean Min Temp,class 1,0.502955645,non,dengue
Houses without electricity,class 1,0.063298778,all,zika
Houses without toilet,class 0,0.40346228700000003,all,zika
Mean Temp,class 1,0.020028578000000002,non,chkk
Population without health services,class 1,0.88944254,all,zika
Altitude,class 1,0.063476697,non,zika
Houses without toilet,class 0,0.41813381299999997,all,dengue
Houses without water pipelines,class 0,0.61851497,all,zika
Mean mm/day,class 0,0.27377131600000004,all,dengue
Houses without electricity,class 1,0.598293262,non,zika
Houses without sewage,class 0,0.482997496,non,dengue
Illiteracy,class 0,0.276104611,non,chkk
Houses without sewage,class 0,0.056520327,non,zika
Mean Max Temp,class 0,0.133967755,non,zika
Houses without water pipelines,class 0,0.43297754,non,zika
Houses without water pipelines,class 0,0.605496507,all,zika
Mean Temp,class 0,0.299692356,all,zika
Houses without water pipelines,class 0,0.388434675,all,dengue
Houses without water pipelines,class 1,0.306266337,all,chkk
Mean Max Temp,class 0,0.59450662,all,chkk
Mean mm/day,class 1,0.3978741,non,chkk
Houses without electricity,class 1,0.005695932,non,chkk
Houses without toilet,class 1,1.1533551690000001,non,zika
Houses without toilet,class 1,1.194778852,non,zika
Houses without sewage,class 1,0.001,non,zika
Mean mm/day,class 1,0.39435316299999995,non,zika
Houses without toilet,class 1,0.419753954,all,zika
Altitude,class 0,0.09266464099999999,all,chkk
Min mm/day,class 0,0.026125229,non,chkk
Mean mm/day,class 0,0.319137371,all,dengue
Mean Min Temp,class 1,0.001,non,zika
Houses without electricity,class 1,0.565064884,non,zika
Min mm/day,class 0,0.047357347,all,chkk
Population without health services,class 1,0.9030485890000001,all,zika
Population without health services,class 1,0.39651002700000004,non,zika
Min mm/day,class 0,0.013193369,non,dengue
Mean Min Temp,class 1,0.001112237,non,chkk
Houses without electricity,class 0,0.542045761,non,zika
Houses without sewage,class 0,0.262538609,all,zika
Mean Min Temp,class 0,0.02,non,chkk
Population without health services,class 1,1.1766957690000002,all,chkk
Mean Min Temp,class 1,0.47967487700000006,non,dengue
Houses without electricity,class 0,0.034384588,all,zika
Max mm/day,class 1,0.001,non,chkk
Houses without water pipelines,class 0,0.374174815,non,zika
Mean Min Temp,class 1,0.012751911999999999,non,zika
Mean Min Temp,class 1,0.049373270999999996,non,zika
Illiteracy,class 1,0.808495447,non,zika
Mean Temp,class 1,0.18968707,all,chkk
Max mm/day,class 1,0.027631331000000002,non,chkk
Illiteracy,class 1,0.78574209,all,chkk
Mean Max Temp,class 0,1.004653253,non,chkk
Max mm/day,class 0,0.29603428600000004,all,dengue
Houses without electricity,class 0,0.5154170260000001,non,zika
Altitude,class 0,0.035503356,non,dengue
Illiteracy,class 0,0.772490318,all,chkk
Houses without electricity,class 0,0.004137905,non,chkk
Mean Temp,class 1,0.037906866000000004,non,zika
Min mm/day,class 0,0.0013978520000000002,non,dengue
Houses without electricity,class 0,0.051744947,non,chkk
Mean Max Temp,class 1,0.480732995,all,dengue
Houses without toilet,class 1,1.19881763,non,zika
Mean Temp,class 1,0.03610404,non,zika
Mean Temp,class 0,0.31592901100000004,all,zika
Mean Min Temp,class 1,0.001,non,chkk
Houses without water pipelines,class 1,0.272861809,non,dengue
Min mm/day,class 0,0.021088338999999998,non,zika
Houses without water pipelines,class 1,0.568047061,all,zika
Houses without toilet,class 1,1.195898149,non,zika
Houses with floor of dirt,class 0,0.5,all,chkk
Mean Min Temp,class 1,0.442126626,non,dengue
Min mm/day,class 0,0.009298446,non,dengue
Houses without sewage,class 1,0.209921816,non,chkk
Mean mm/day,class 1,0.376898195,non,dengue
Houses with floor of dirt,class 1,0.5237159579999999,all,chkk
Min mm/day,class 1,0.032080967,all,dengue
Houses without water pipelines,class 1,0.152678482,non,chkk
Houses without water pipelines,class 1,0.394498956,all,dengue
Mean Max Temp,class 1,0.2025131,non,zika
Altitude,class 1,0.041060845,all,dengue
Mean mm/day,class 0,0.44646760399999996,non,zika
Altitude,class 0,0.024651312999999998,all,dengue
Mean Temp,class 1,0.043994828,non,chkk
Houses without toilet,class 0,0.815271988,non,chkk
Min mm/day,class 0,0.02315329,all,zika
Max mm/day,class 1,0.264372349,all,chkk
Houses without water pipelines,class 0,0.40109705100000004,non,zika
Min mm/day,class 0,0.011670976000000001,non,zika
Houses without water pipelines,class 1,0.293352177,non,dengue
Min mm/day,class 0,0.046670653,all,zika
Houses with floor of dirt,class 0,0.514438772,non,chkk
Houses without sewage,class 0,0.43752678100000003,all,chkk
Houses without sewage,class 1,0.513038891,all,dengue
Illiteracy,class 1,0.693816345,non,zika
Mean Max Temp,class 1,0.92360729,non,chkk
Altitude,class 1,0.005426008,non,dengue
Altitude,class 0,0.090713945,all,chkk
Mean Temp,class 0,0.026593675,non,zika
Houses with floor of dirt,class 0,0.220410248,non,zika
Mean Temp,class 1,0.013917828,non,chkk
Houses without toilet,class 1,0.478912069,all,zika
Altitude,class 0,0.005354197,non,chkk
Houses without toilet,class 1,0.413550921,all,zika
Max mm/day,class 1,0.332296087,all,chkk
Mean mm/day,class 0,0.280934755,all,zika
Mean Min Temp,class 0,0.404079831,all,dengue
Altitude,class 0,0.023587418,all,dengue
Min mm/day,class 0,0.02718804,non,zika
Houses without toilet,class 1,0.834921233,non,chkk
Houses without electricity,class 0,0.287040992,non,dengue
Max mm/day,class 1,0.035553693,non,chkk
Mean Temp,class 0,0.012833846000000001,non,zika
Houses without electricity,class 0,0.551773179,non,zika
Altitude,class 1,0.014166198,non,dengue
Houses without sewage,class 1,0.49589101700000005,non,dengue
Houses with floor of dirt,class 0,0.62,all,dengue
Houses with floor of dirt,class 0,0.510566589,non,chkk
Houses without water pipelines,class 0,0.38430038299999997,non,zika
Mean Min Temp,class 1,0.001,non,zika
Houses without toilet,class 0,0.380536274,all,zika
Mean Max Temp,class 0,0.964064257,non,chkk
Min mm/day,class 1,0.026946074,non,zika
Mean Min Temp,class 0,0.12539055300000002,non,zika
Mean Temp,class 0,0.065819979,non,zika
Min mm/day,class 1,0.018448343,non,zika
Houses without electricity,class 1,0.309646307,non,dengue
Max mm/day,class 0,0.048672375,non,chkk
Houses without water pipelines,class 1,0.168624212,non,chkk
Population without health services,class 0,0.44246159399999996,non,zika
Altitude,class 1,0.001,non,dengue
Mean Temp,class 0,0.012323967,non,chkk
Mean mm/day,class 0,0.286299712,all,dengue
Altitude,class 1,0.018036932,all,zika
Max mm/day,class 1,0.41637938700000005,non,dengue
Illiteracy,class 0,0.28,non,chkk
Houses without toilet,class 1,1.208609095,non,zika
Houses without water pipelines,class 0,0.296968006,non,dengue
Illiteracy,class 0,0.48349655700000005,non,dengue
Population without health services,class 0,0.379995344,all,dengue
Mean Min Temp,class 0,0.122051486,non,zika
Mean Max Temp,class 1,0.643628399,all,chkk
Max mm/day,class 0,0.08281044900000001,non,chkk
Mean mm/day,class 0,0.196709455,all,chkk
Mean mm/day,class 0,0.267807992,all,dengue
Houses without water pipelines,class 1,0.308296186,all,chkk
Mean mm/day,class 0,0.39350366700000006,non,chkk
Mean Temp,class 0,0.013756265,non,zika
Houses without electricity,class 1,0.074343159,all,zika
Houses without toilet,class 0,1.163201984,non,zika
Houses without sewage,class 0,0.483891089,non,dengue
Houses with floor of dirt,class 1,0.5605630229999999,non,chkk
Houses with floor of dirt,class 1,0.584439161,all,dengue
Houses without water pipelines,class 0,0.165542451,non,chkk
Max mm/day,class 1,0.023618039,non,chkk
Houses with floor of dirt,class 1,0.620828873,all,dengue
Mean Temp,class 1,0.291538883,all,zika
Min mm/day,class 0,0.011465497,non,dengue
Mean Max Temp,class 1,0.912464618,non,chkk
Illiteracy,class 1,0.822639612,all,zika
Illiteracy,class 0,0.9214415159999999,all,zika
